text_input,palette,palette_lab,palette_lab_reorder
"['it', 'is', 'cold']","[(86, 131, 192), (151, 221, 209), (128, 109, 212), (160, 208, 218), (191, 167, 229)]","[[138, 131, 91], [213, 104, 127], [133, 160, 77], [205, 115, 118], [185, 149, 100]]","[[133, 160, 77], [138, 131, 91], [185, 149, 100], [205, 115, 118], [213, 104, 127]]"
['ugly'],"[(111, 46, 46), (62, 89, 163), (99, 78, 46), (81, 88, 23), (56, 50, 53)]","[[72, 157, 142], [100, 142, 85], [88, 132, 150], [91, 116, 163], [55, 131, 127]]","[[55, 131, 127], [72, 157, 142], [88, 132, 150], [91, 116, 163], [100, 142, 85]]"
"['screaming', 'into', 'the', 'void']","[(134, 156, 165), (140, 118, 159), (90, 57, 114), (49, 17, 81), (43, 5, 41)]","[[161, 122, 121], [135, 145, 109], [77, 154, 101], [34, 158, 95], [18, 153, 114]]","[[18, 153, 114], [34, 158, 95], [77, 154, 101], [135, 145, 109], [161, 122, 121]]"
['green'],"[(198, 255, 175), (176, 246, 148), (155, 234, 105), (107, 174, 101), (66, 129, 60)]","[[241, 96, 161], [231, 89, 168], [218, 82, 182], [166, 92, 159], [124, 93, 159]]","[[124, 93, 159], [166, 92, 159], [218, 82, 182], [231, 89, 168], [241, 96, 161]]"
"['fresh', 'squeezed', 'orange', 'juice']","[(255, 232, 190), (255, 198, 89), (255, 182, 70), (255, 167, 0), (255, 141, 0)]","[[237, 130, 151], [212, 137, 189], [202, 145, 193], [192, 151, 207], [178, 164, 204]]","[[178, 164, 204], [192, 151, 207], [202, 145, 193], [212, 137, 189], [237, 130, 151]]"
"['depression', 'days']","[(127, 197, 174), (121, 139, 163), (73, 70, 111), (69, 35, 92), (64, 6, 90)]","[[190, 101, 133], [146, 127, 113], [81, 140, 105], [54, 156, 100], [39, 168, 92]]","[[39, 168, 92], [54, 156, 100], [81, 140, 105], [146, 127, 113], [190, 101, 133]]"
['shoot'],"[(69, 53, 53), (75, 45, 45), (77, 39, 39), (81, 28, 28), (96, 15, 15)]","[[61, 135, 131], [57, 142, 134], [53, 146, 136], [48, 153, 141], [50, 163, 151]]","[[48, 153, 141], [50, 163, 151], [53, 146, 136], [57, 142, 134], [61, 135, 131]]"
['stagnate'],"[(156, 170, 171), (141, 169, 171), (129, 168, 174), (113, 167, 171), (103, 160, 165)]","[[175, 123, 126], [172, 119, 124], [169, 116, 121], [166, 111, 120], [159, 111, 119]]","[[159, 111, 119], [166, 111, 120], [169, 116, 121], [172, 119, 124], [175, 123, 126]]"
"['beach', 'day']","[(0, 197, 255), (0, 211, 216), (0, 199, 184), (255, 219, 108), (240, 255, 0)]","[[189, 107, 88], [196, 88, 113], [185, 84, 124], [226, 128, 186], [245, 100, 221]]","[[185, 84, 124], [189, 107, 88], [196, 88, 113], [226, 128, 186], [245, 100, 221]]"
"['melodic', 'nightmares']","[(202, 64, 251), (201, 41, 171), (165, 21, 101), (131, 6, 56), (88, 0, 18)]","[[141, 206, 61], [123, 200, 95], [94, 188, 120], [70, 178, 135], [41, 165, 145]]","[[41, 165, 145], [70, 178, 135], [94, 188, 120], [123, 200, 95], [141, 206, 61]]"
